gãcoa,"vuelta del río (uso: requiere palabra modificador, por ejemplo: ti gãcoa ‘esa vuelta del r o’, adi gãcoa ‘esta vuelta del r o’, i gãcoa ‘aquella vuelta del r o’)."
gãcojacatʉ E,"gãcojacatʉa E õ t , gãcocatʉa J t inan. lado izquierdo. 96 sinón. jaamas et catʉa. V. jaamas r catʉa, r ojocatʉa."
gãcose,"dar vueltas (río, camino)."
gãgãre,atorarse.
gãja,"gallineta, tinamú. Tinamus spp."
gãja bera,frutas gãja bera (comestibles).
gãja beraʉ,especie de árbol (que produce fruta comestible).
"gãjabocʉ, gãjaboco","m., f. gallo, gallina. Gallus gallus."
gãjaboco ria,huevo de gallina.
gãja bʉjʉ,especie de araña (no venenosa).
Gãja sojeʉ,cerro por el río Cananarí. V. gʉ taʉ.
gãjerã,otros (seres animados).
gãji,"otro, uno (ser animado masculino)."
gãjiro,"puesto, soporte (para olla en forma de una ampolleta). 97 gãjiro puesto para la olla, soporte"
gãjoa,"dinero, plata."
gãjoa jũuro,billete de dinero.
gãjoajãi,arete hecho de una moneda.
gãjoatiiri,"1 monedas, monedas acuñadas. 2 discos de metal. sing. gãjoatiiro. pl. gãjoatiiri."
gãjojota,aguja.
gãmearã,"an.s.plural hormigas cazadoras, legionarias (especie que pica y come otros insectos)."
gãmebaare,"volver a comer, comer otra vez."
gã eĩare,"volver a ver, visitar, mirar; mirar por segunda vez."
gã eoñe cũure,"mẽ ẽ ẽ J] v.t. cambiar, intercambiar (mujeres), casarse con."
"gãmeore E, J",traer y pasar (canoa) al otro lado o sitio.
gãmerã,"gãmere mẽ e], gãmeri s.v.inan. reciprocidad (hacer el uno al otro al mismo tiempo). 98 regañando. V. oca josare. gãmere gotire invitar (a los otros compañeros a venir a una fiesta)."
gãmere,"1 v.t. vengar, vindicar. 2 reciprocar y devolver una cosa (o acción similar)."
gãmerojare,bajar por el otro lado.
gãmetobosare,"mẽ tóo os J] v.t. vengarse, vindicar."
"gãmetudire E, YM",gã etʉdire J mẽ t d v.i. regresar.
gãmo,"1 orejas. 2 ataduras para la correa de la bolsa del hombre. V. j ʉ awe, wasojoa gãmo. wasojoa gãmo ataduras para la correa de la bolsa del hombre 3 orejas, maniguetas de olla (que se encuentra por los dos lados de una olla, taza)."
gãmo yoore,aretes.
gãmoamene,"guamas gãmoamene (silvestres, comida prohibida)."
gã oa eneʉ,"especie de guamo (silvestre, produce fruto no comestible). gãmogoje gãnise Eduria & Barasana – Español – 99 pl. gãmoamen yucʉ V. gãmoamene. gãmogoje túnel óseo del oído"
gãmogoje,túnel óseo del oído. auditory meatus.
gãmoo,mujer (durante el proceso de tener la regla por la primera vez). m. gãmoʉ.
gãmoore,iniciar a (un joven).
gãmore,"1 empezar a ser joven (iniciarse al rito de yuruparí para los hombres, tener la primera regla para las mujeres). 2 menstruar, tener la regla. 3 ponerse en celo, estar en celo (perra, hembra animal)."
"gãmosoroa E, J","gãmusoroa YM an.s.plural coloraditos, ácaros (especie rojo y muy pequeño, hace una picazón fuerte). Trombidium americanum."
"gã oʉ, gã oo","s.v.m., f. hombre (durante el proceso de iniciarse al rito de yuruparí por la primera vez); mujer (durante el proceso de tener la regla por la primera vez)."
Gã oʉ bota,cerro en el río Cananarí.
Gã oyucʉra,"m d ú J] inan. parte ancha del río Pirá-Paraná donde sale del caño Piedra. 2. gãmusoroa YM V. gãmosoroa E, J."
gãnibiajeore,"nĩ ó J] v.t. rodear, circundar completamente."
gãnire,"circundar, cercar, rodear, dar vueltas."
gãnirito,juguete (que imita un hélice de avión).
gãnise,cosas que giran (como hélices de aviones). 100 Gãnirito rãca ajegʉ ya i. Él está jugando con un juguete imitando el hélice de avión.
gãore,mover una cosa en un círculo (uso: después de otros verbos).
gãseroa,"an.s.plural orugas gãseroa (comestibles y largas, del color negro y rojo)."
goarʉaro,etapa antes de brotar flores.
goase,florecer.
gocoarã,bocachicos (especie de sardina pequeña y comestible que come alga). Prochilodus sp.
godo,"lugar, sitio donde algo estaba o había ocurrido. 1 tener rastro. 2 hacer falta, echar de menos a (alguien). 1 tener rastro. 2 hacer falta, echar de menos a (alguien)."
godo ĩare,darse cuenta de (que hace falta de algo).
godobaja,recipiente vacío (donde algo estaba).
godo curi,pájaro hormiguerito sombrío. Dysithamnus plumbeus. 101 godo curi hormiguerito sombrío
godowedire,cambiarse a otra forma.
godoweoĩore,go dó w o ĩ ẽ J] s.v.inan. visión (por tomar yajé).
godoweore,"crear, formar."
gogorã,soldados vestidos en uniformes de camuflaje.
gogose,"inan., cl.irreg. combinación de diseños."
goja,rana saltadora (comestible). Leptodactylus sp.
goje,"inan., cl.irreg. hueco (en el suelo, árbol y ciertas partes del cuerpo), cueva."
goje mini,pájaro atila acanelada. Attilas cinnamomeus.
goo,flores.
gooro oco,inan.s.de masa néctar de flores. 102 goo flores
gooco,inan.s.de masa saliva.
goore,"limpiar (pista, camino)."
goorẽtobuure,go o ẽ tõ úú e J] v.t. enderezar (camino).
goo yusi,flores de la ortiga yusiʉ (utilizadas para aliviar dolores del estómago y del hueso por frotarlas por la parte que tiene el dolor).
goo yusiʉ,especie de ortiga (cuya flor se utiliza para aliviar el dolor). pl. goo yus ʉ yucʉ .
goro J,"masu E adv. 1 mismo, misma (expresa identidad o semejanza). 2 realmente, verdaderamente. 3 exactamente, precisamente (en un lugar). 4 demasiado. 5 muy. 6 (cosa) real, verdadera, auténtica."
gosiore,"suavizar, lijar, pulir (madera)."
gosise,"estar) resbaladizo, resbaladiza (puente de palos, camino, pez); liso, lisa; plano, plana (madera)."
gotiajere,"contar, intercambiar (saludos, noticias, etc. al llegar)."
gotiajiore,"decir, hablar (en público a todos)."
gotibatoore,"decir, contar, dar noticia (a muchas personas en lugares diferentes), difundir (noticia, rumor)."
goticõare,"dar, mandar (un mensaje), poner (un mensaje por radio-teléfono). 103"
goticũuwaare,"got ũ w J] v.t. dejar mensaje y salir, dar instrucciones y salir."
gotiejore,alcanzar invitar a todos.
gotigüire,"tener miedo de decir, contar algo."
gotimaawisiore,go t m w s o J] v.t. hablar y confundir (al otro).
gotimasiore,enseñar.
gotimasiriore,"go t m sĩ ó e J] v.caus. contar, hablar varios temas haciendo confundir (al otro)."
gotiquẽnore,aclarar (lo que había dicho para que el otro comprenda bien).
gotire,"decir, contar, relatar, avisar."
gotisere ajijuajeobetire,"no captar, no alcanzar a (entender todo que él dijo)."
gotirẽ ore,"añadir a (lo que uno ha dicho), ayudar (por medio de hablar)."
gotirẽtobuure,go t ẽ tõ úú J] v.t. explicar a otro.
gotirẽtore,"repetir, decir a (otro lo que ha escuchado), traducir."
goti rĩjoro yire,"go t ĩ d J] v.t. profetizar (decir antes lo que va a pasar), decir (el trabajo para hacer y dar instrucciones para hacerlo)."
gotirotire,mandar avisar al otro. 104
gotirudire,"decir, contar a escondidas, avisar en secreto."
gotirũtuare,"seguir, continuar hablando, contando."
gotiweore,dar noticia y salir.
gotiyiroore,"chismear, llevar chismes (y hacer mal alotro por hacerlo)."
goʉ,palo de corazón (reg. especie de árbol con madera muy dura utilizada para hacer arcos y los bastones sagrados de los payés).
gõa,"huesos, espinas del pez."
gõa manire,
gõa moose,
gõea,an.s.plural mugre del cabello.
gõjacodere,"calumniar, criticar alguien a otros. 105 yama ĩna ũnama Hay mucha gente que critican a otros. Ellos perjudican a otros. sinón. gõjare."
gõjamacare,"calumniar, criticar alguien a otros. sinón. gõjare."
gõjanabidire E,"gʉdabidire J v.i. (estar) molesto, molesta; afanado, afanada."
gõjanabiore E,"gʉdabiore J v.caus. molestar, importunar."
gõjanabiose yi wayagarea ñaare E,gʉdabiose yi wayagarea ñaare J g d o se d w d g ẽ interrumpir.
gõjare,"calumniar, criticar alguien (a otros)."
gõnejico,"luciérnaga, cocuyo. F. Lampyridae, Pyropyga spp., Photinus spp., Photuris spp., Pyrophorus noctilocus."
gõnejoa,vejiga.
gõneocʉ E,gõneucuʉ J õnẽ inan. especie de árbol (inútil).
gõnere,orinar.
guaare,"ser/estar) feroz; fiero, fiera (culebra, gato, perro, loro)."
guagoabetire,"gú go t e J] v.i. menstruar, tener la regla."
"gua ʉ, gua o","s.v.m., f. persona forzuda, fuerte."
guare,bañarse.
guari,tener poder espiritual.
guariajetaga,"gu t g J] s.v.inan. puerto de baño. V. guare, jetaga."
Guarijũnʉ bota,cerro en el río Pirá-Paraná. 106 V. gʉ taʉ.
guaro,"rápido, pronto, deprisa, prontamente."
guayesore,mezquinar (hasta pelear por ello).
Guebo,"cachivera (bras.), raudal, rápido en el río Pirá-Paraná entre Sonaña y San Miguel. 1."
guẽguẽare,"estar) arrugada, arrugarse (la piel)."
guia,an.s.plural piojos. Pediculus humanus.
güibʉare,preocuparse (por el otro para que no se cae mal).
guii,"peinetas, peines."
guiiro,"peineta, peine."
güi ecʉre,confundirse (por miedo).
güiore E,"guijore J g ó v.caus. 1 asustar, espantar, dar susto. 2 (estar) peligroso, peligrosa; espantoso, espantoso. 107"
güire,"temer, tener miedo, (ser/estar) miedoso, miedosa; arisco, arisca."
guiroberua,"peineta, peine (curva y ornamental para la mujer)."
guiwacajũu,"ramos, frondas de la palma guiwacaño (especie utilizada para hacer los techos y las paredes de la maloca)."
guiwacaño,especie de palma (con hojas utilizadas para hacer el techo y las paredes de la casa). V. gu wacajũu.
guji,dientes.
guji põguẽre,"rechinar, crujir (los dientes)."
guji gũ u,mandíbula.
"guji weari asʉ, guji weari aso","s.v.m., f. el dentista, la dentista."
guji sĩgã,"an.s.plural termitas, térmites o termes, comejenes guji sĩgã (especie incomible, roja, no tiene termitero en forma de montículo y sale del nido al anochecer). sing. guj sĩgãmʉ V. meca, apén. gráfica de termes y hormigas."
guore,"bañar a (niño, perro)."
guu,"tortuga terrestre. 108 oeagʉ guu, macarocaagʉ guu, ria guu, ũma cũmuro."
guu cooro,casco de tortuga.
guu sũʉ,"especie de charapa (tortuga acuática con casco inferior de color rojo, comestible). O. Chelonia, Podocnemis spp."
guu wʉrabʉsʉorii,gúú w s o J] s.v.inan. instrumento musical de la danza (hecho del casco de tortuga).
gúu E,"guuga J guúg m. payé, chamán (protector espiritual para los iniciados durante la ceremonia de iniciación)."
guu wẽjeriti,especie de hongo (comestible por la tortuga).
gũ are,envolver.
gũ ariaro,cobija.
gũ aria sãne,m s nẽ J] s.v.inan. cosa envuelta.
gũ u,"inan., cl.irreg. leño, trozo de madera, palo. 109"
gũ ua,"terreno, tracto de monte bravo (que será bueno para hacer chagra)."
gũ ubari,puente (hecho de palos).
gũ ubo,"palos secos, podridos en el suelo."
gũ ubo judise,m ó ud s J] inan.f.n.esp. hongos que brotan en troncos podridos.
gũmu oror jud se m ó úd se E],V. wẽjer t .
gũ usu,"nigua. Rynchoprion penetrans, Tunga penetrans."
gʉbo,pie.
gʉbo isia,talón.
gʉbo sudi,"1 zapatos. 2 medias (uso: lengua tradicional, indígena). sing. gʉ o sud jaʉ, gʉ o sud jʉ, gʉ o sud ro pl. gʉ o sud ‘par de zapatos’. sinón. gʉ o gũmase."
gʉbocotiro,parte inferior del pie.
gʉbogase,"uñas del dedo del pie (persona), garras (gavilán, tigre, etc.)."
gʉborisoto,la parte inmediatamente arriba del tobillo.
gʉbo tẽa,"pepas de castaña (especie de nuez silvestre, comestible, comido crudo). 110 por la gente. Son de la selva y son sabrosas. sing. gʉ o tẽa pl. gʉ o tẽa, gʉ o tẽar V. gʉ o tẽʉ. gʉbo tẽa pepa de castaña"
gʉbo tẽarʉcʉ,"especie de yuca brava. V. quĩ , rujarʉcʉ. gʉbo tẽʉ palo de pepa de castaña"
gʉbo tẽʉ,"palo de pepa de castaña (produce una pepa comestible). pl. gʉ o tẽʉ yucʉ , gʉ o tẽʉ yucʉ r ."
gʉbowãsoa,"1 dedo del pie. 2 dedo segundo, tercero o cuarto del pie. gʉbowãsoa jairica inan. dedo grande del pie."
gʉda,"inan.s.de masa excremento, popó."
gʉda ñaare,"estar) encinta, (estar) embarazada."
gʉda sĩare,"destripar (tripas de animales, peces)."
gʉda cudure,tener diarrea.
gʉdabidire J,"gõjanabidire E v.i. (estar) molesto, molesta; afanado, afanada."
gʉdabiore J,"gõjanabiore E v.caus. molestar, importunar."
gʉdabiose yi wayagarea ñaare J,gõjanabiose yi wayagarea ñaare E õ n o se d w d g ẽ interrumpir.
gʉdabiyase,"estrechamente, (ser/estar) apretado, gʉdabuu Gʉda nuaricʉ Eduria & Barasana – Español – 111 apretada (ropa)."
gʉdabuu,"pacú (bras., ger. especie de pez plano, comestible con carne blanca)."
gʉdajoa,"1 estómago. 2 útero, matriz."
gʉda jubero,"inan.s.de masa corazón de árbol, pulpa de árbol."
gʉda aa,"1 fondo de la canoa (parte donde pone los pies). sinón. cũmua gʉda maa. 2 profundidad del río, fondo del río, cauce del río, lecho del río (donde el sedimento se va río abajo por la corriente). sinón. r aga gʉda maa. gʉda isi intestinos, tripas"
gʉda isi,"intestinos (ser humano), tripas (animal)."
gʉda nuarica,"cucarrón mierdero (escarabajo pequeño con un casco negro, come excremento). Ateuchus sp., Dichotomius achamas."
Gʉda nuaricʉ,cerro cerca del río Cananarí. 112
gʉda ñiirã,"an.s.plural hormigas gʉda ñiirã (especie incomible, pequeña y negra, tiene un mal olor)."
gʉdareco,"medio de, en el centro de, mitad."
gʉdatuare,"estar) atrancado, atrancada; atascado, atascada (viajando por el río)."
gʉde,"1 ano. 2 parte trasera de la canoa, cola de canoa, popa de canoa. sinón. cũmua gʉde, gʉda maa. V. apén. dibujo de la canoa."
gʉgʉase,dañarse (filo de machete).
gʉje,inan.s.de masa brea.
gʉje i i,heliodoxa tijereta (especie de colibrí). Heliodoxa imperatrix.
gʉje taa,inan.s.de masa especie de hierba (maleza).
gʉjeʉ,"breo (reg. especie de árbol que produce brea). pl. gʉjeʉr , gʉje yucʉ sinón. tata gʉje. V. ot gʉjeʉ, gʉje. gʉso babilla, cachirre, yacaré"
gʉso,"babilla, cachirre, yacaré (especie de caimán pequeño). Caiman sclerops, Caiman apoporoensis, Caiman fuscus, Caiman chiapasius."
gʉso unia,rodilla. 113 gʉso unia rodilla gʉso wʉʉre golpear (la rodilla contra algo).
gʉso taa,"inan.s.de masa especie de maleza (hierba). pl. gʉso taa, gʉso taacajer sing. gʉso taacaje ‘un tallo de gʉso taa’. sinón. gʉje taa."
gʉ nacũure,"defecar, hacer popó en el suelo."
gʉ nañe,"inan.s.de masa chica, carayurú (bras. pigmento, tinta, pintura roja de la hoja cocida de gʉ nañe aa utilizada para pintar la cara). Bignonia Chica H.B.K., Arrhabidea Chica Verlot."
gʉ nañejã oro,"n ẽ mõ õ J] inan. enramada, emparrado del bejuco de carayurú."
gʉ nañe aa,"bejuco de carayurú. Bignonia Chica H.B.K., Arrhabidea Chica Verlot. V. gʉ nañe."
gʉ nañe ʉcoʉ,especie de árbol (cuyas hojas son utilizadas para mezclar en la preparación de carayurú).
gʉ nare,"defecar, hacer popó."
gʉ nareare,"defecar, hacer popó. sinón. gʉ nare. gʉ ta piedra"
gʉ ta,"1 piedra, roca. 2 piedra del payé (grande, blanca, que se cuelga del cuello del payé)."
gʉ ta wii,cueva. 114 creyeron en él. V. tuetuure. gʉ ta buja gallo de las sierras
gʉ ta buja,gallo de las sierras. Rupicola spp.
gʉ tagase,"bandas, ligas tejidas para las piernas."
gʉ tagũ u,"cordillera, cadena de montañas."
gʉ tajoero,"cachivera (bras.), raudal, chorrera (reg.), chorro, rápido."
gʉ taria,"inan.s.de masa gravilla, cascajo, grava, arena gruesa."
Gʉ ta sariʉ,cerro ubicado en la cabecera del río Vaupés (uso: se dice más que Jee jũna bota o Ʉco jĩno yaa bota).
Gʉ ta seberoa,an.s.plural diseño de lagartos en una roca cerca de San Miguel.
gʉ tatoti,cueva.
gʉ tatubua,montón de piedras. gʉ taʉ idire Eduria & Barasana – Español – 115
gʉ taʉ,"cerro, montaña (que consiste de piedra)."
gʉ tawaca,payara (especie de pez).
Gʉ taweya,caño Piedra (afluente del río Pirá-Paraná). V. apén. mapa2.
gʉ tayucʉ,"cerros, montañas; cordillera, cadena de montañas."
i,"aquel, aquella (cosa)."
ibisitise,ser/estar) dulce.
icagʉ,"coconuco (reg.), pavón nocturno (especie de pavo del monte). Nothocrax urumutum."
ide masa,"an.s.plural macunas (grupo indígena que habla el idioma macuna del ascend ente llamado “Oco Jĩno”). sing. ide masʉ, de maso sinón. wʉjana."
idia,"tres (aviones, canoas, dedos, cartuchos, limones, frutas de la palma de patabá, etc.)."
idibatejeore,d te ó J] v.t.pl. tomar todo (hecho por personas).
idijeore,tomar todo (hecho por una persona).
idire,"1 tomar, beber. 116 Cuando tenga fiebre, tome estas pastillas. caus. iore. V. idibatejeore, idireajeore, idiriguse, idisãare, idiyajire. 2 picar, chupar (hecho por el zancudo, mosquito, etc.). 1 chicha (bebida que se prepara con raíces comestibles). 2 bebida (del indígena y blanco, por ejemplo: chicha, cerveza, gaseosa, limonada, etc.)."
idireajeore,tomar todo (hecho por personas).
idiriabaja,"recipiente que contiene una bebida. V. idire waaioriabaja, rujabaja, tazabaja. idiriguse J V. d rʉamacose E."
idirʉa acose E,"idiriguse J d gú se v.i. tener sed, sentir sed."
idisãare,"tragar, tomar."
idiyajire,tomar hasta que quedar satisfecho.
igare,sacar un pedazo de casabe.
iguere,pellizcar para regañar (personas y seres animados).
iguesuare,cortar con las uñas (hojas).
iguesurere,"despedazar con las uñas, cortar en pedazos por pellizcar, picotear (ave)."
iguesuriare,despedazar (casabe con los dedos).
iguetaare,"despedazar, cortar por pellizcar (una cosa)."
ijacatʉa E,icatʉa J t inan. otro lado.
ijugua,ese rincón. ijʉ iya Eduria & Barasana – Español – 117
ijʉ,allí.
ijʉbʉsaaca,un poco más allá.
io ecʉore,hacer emborrachar.
io ecʉoreare,ó mẽ õ J] v.t.pl. hacer emborracharse (hasta perder el sentido).
io ʉñose,emético (lo que hace vomitar).
iore,dar de beber.
iriose E,"irose J ó s v.t. hacer tener cosquillas, darle hormigueo, hacer sentir (los movimientos de un insecto o pájaro u otro andando encima del cuerpo)."
isia,"1 nalgas (de ser humano). 2 abdomen de insecto, araña."
isica ʉ,"tití de Goeldi, tamarino negro y rojo, tamarino jaspeado, diablillo. Callimico goeldii, Saguinus nigricollis, Saguinus inustus."
isicũ uro,cadera.
isisẽnero,hueso iliaco.
iso,"ésa, aquélla (a la vista)."
ita,vámonos!
iya,"maracuyá silvestre (frutas amarillas con pulpa dulce y comestibles). Passiflora spp. 118 rujamaar ñuu atese T ʉcʉajama, sʉr se ñaacajʉ T a ju eayere aáre ñaacajʉ Quẽnase ibis t cajʉ El bejuco de maracuyá silvestre se encuentra en los rastrojos. La fruta es dulce y buena para comer. sing. iya. pl. iya. V. iyajãmoro, iyamaa."
iyajãmoro,"enramada, emparrado de maracuyá silvestre. V. iya, rujajãmoro."
iyamaa,bejuco de maracuyá silvestre. V. iya. Ĩ – ĩ ĩa ʉ oruga
ĩa,an.s.plural orugas.
ĩa cʉ a,"verano, época de orugas."
ĩababoore,"volver a ver, visitar, mirar; mirar por segunda vez."
ĩabatoore,"mirar alrededor, los alrededores."
"ĩabecʉ, ĩabeco","s.v.m., f. ciego, ciega."
ĩabesere,"escoger (cosa como tela, palo, comida)."
ĩabʉjare,"encontrar, hallar."
ĩacãnamuure,"ĩ n m ẽ J] v.t. mirar de frente, ver d rectamente a (“ojo a ojo”)."
ĩacodere,"1 vigilar, cuidar a (fuego, comida, animal), dirigir (trabajo). 2 estar con otros después de la muerte de un familiar."
ĩacõañaare,quedarse mirando. sinón. ĩar jacoare.
ĩacõĩare,"evaluar, estimar, distinguir entre; comparar (lo bueno y lo malo en una persona)."
ĩacõore,revisar.
ĩacudire,visitar de casa a casa.
ĩaejore,"mirar, ver, conocer hasta cierto punto o lugar. 119 ejar ajʉne ĩaejoaja yʉʉ Yo conozco el camino hasta la chagra."
ĩaĩaña ani yire E,ĩaĩa mani yire J ĩ ĩ m nĩ d v.t. hacer milagro.
ĩaĩare,"1 mirar, ver para saber, averiguar como sigue alguien o algo, examinar. 2 mirar algo que está lejos."
ĩajacʉ,"especie de cigarra. F. Cicadidae, (común) G. Tibicen."
ĩajãnare,abrir (los ojos).
ĩajõore,"mirar a un cuarto, ponerse un vistazo al cuarto."
ĩajũnisinire,"estar bravo, brava, enojarse al ver, tener celos al ver."
ĩa acare,"buscar (animales por medio de sus huellas, una cosa perdida)."
ĩa asire,reconocer.
ĩa ʉ,oruga. V. ĩa.
ĩa ʉ ria,"capullo de gusano, oruga."
ĩa ʉore,1 mirar arriba. 2 mirar río arriba.
ĩaña ani E,"ĩamani J ĩ m nĩ s.v.inan. cosa, lugar prohibido de mirar."
ĩare,"1 ver, mirar, observar. ĩarẽtobuĩare ĩaweare Eduria & Barasana – Español – 120 2 leer."
ĩarẽtobuĩare,"ĩ ẽ tõ úú ĩ ẽ J] v.t. ver a través de, penetrar por la vista (para averiguar o probar)."
ĩarijacoare,"quedarse mirando, clavar, fijar (la vista en o a)."
ĩario yire,mirar adelante.
ĩa rĩjoro cʉtire,ĩ ĩ t J] v.t. mirar adelante. sinón. ĩar o y re. V. ĩare.
ĩaroore,mirar hacia abajo (hacia el río).
ĩarudire,"atisbar, mirar a escondidas."
ĩarudisʉyare,"ĩ úd s d J] v.t. seguir atisbando. V. ĩarud re, saguetire."
ĩarʉ nʉre,"vigilar, cuidar a (fuego, comida, animal), dirigir (trabajo)."
ĩasʉyare,despedir.
"ĩateegʉ, ĩateego","m., f. enemigo, enemiga (lit. él que uno no quiere ver, ella que uno no quiere ver; por ejemplo: por celos porque él/ella cometió adulterio). pl. ĩateerã sinón. jeyʉ, wajacʉ. antón. baba."
ĩateere,"odiar (mirar o visitar), no querer ver."
ĩatʉore,"mirar, ver atrás."
ĩaʉcare,sorprenderse al ver.
ĩaʉore,"desear, codiciar (cosa)."
ĩa wai,"cría de la sabaleta. Brycon spp., F. Characidae."
ĩaweare,"sacar, tomar (una fotografía). 121 ĩawear aro. ĩaweare sãacõari ĩariajʉ s.v.inan. proyector. V. ĩaweare."
ĩaweariaro,cámara.
ĩayusi,"flores de la ortiga ĩayusi (utilizadas para aliviar el dolor). sing. ĩayus gooro pl. ĩayus , ĩayus gooror V. yusi."
ĩayuure,mirar río abajo.
ĩguẽa,1 nariz. 2 pico de aves. 3 proa de canoa. sinón. cũmua ĩguẽa. ĩguẽa nariz
ĩguẽgoje,"ventana de la nariz (pl. narices), orificio nasal."
ĩi,"1 él. 2 de él; su, sus; suyo, suya."
ĩijʉa,"foco selectivo él, por su parte, el otro."
ĩine,ése.
ĩire,"a él, lo, le."
ĩ ica jã o,"narigón siete bandas (especie de armadillo comestible, pequeño). Dasypus septemcinctus, Dasypus novemcinctus."
ĩ icasa,tejidos para atrapar pescados (hechos de la cáscara de cualquier palo disponible).
Ĩ icasaya,"cañito, afluente del caño Sonaña. 122 j do cʉt aja t ya El cañito Ĩ icasaya desemboca al caño Sonaña. V. ĩm ca."
ĩ igase,trampa para los peces (tejida de la palma bojoño).
ĩna,"o m. y f.pl. 1 ellos (todos hombres o mixto de hombres y mujeres). 2 de ellos; su, sus; suyo, suya."
ĩnare,"a ellos, los, les."
ĩna rõ iri,ellas.
ĩñaro,raya. Potamatrygon hystrix.
ĩojaire,1 mostrar (posesiones) con orgullo. 2 exhibir (los órganos genitales).
ĩore,mostrar.
ĩsibatoore,"repartir, compartir."
ĩsijeore,dar (todo de algo).
ĩsire,1 dar. 2 vender.
ĩsiroticõare,mandar a entregar una carta.
ĩsitʉore,devolver.
jaa,inan.s.de masa arena.
jaaãgõreare,"golpear para ahuyentar (mosquitos, moscas, perros). sing. jaaãgõrocare. V. ãgõre, rocare, jaare."
jaaãgõrocare,"ó e J] v.t.sing. golpear para ahuyentar (un mosquito, mosca, perro)."
jaaãmirocare,"mĩ ó J] v.t.sing. empujar con el brazo inferior y hacer caer (cosa, persona, animal). 123 jaaãmirocaqueocõami. Luchando con el otro, lo empujó con el brazo inferior y lo hizo caer. V. rocare, wáare."
jaabariore E,moabariore J v.t. abrazar (poner el brazo sobre el hombro de la mujer en la danza).
jaabasare,"traquetear, hacer sonar (las maracas y danzar)."
jaabatawaare,t w e J] v.t.sing. rajar en la mitad.
jaabua,playa.
jaabua rʉ oro,playa. sinón. jaabua.
jaabʉare,poner ruana o ropa para cubrir.
jaabʉsare,ponerse (collar).
jaabʉsʉore,"traquetear, hacer sonar (las maracas)."
jaacũure,"regatear, driblar o driblear (balón de baloncesto)."
jaadiboriaraje,d óó e J] s.v.inan. tarro abollado o que tiene abolladuras.
jaajeore,"poner al hombro o cabeza, poner sobre algo o alguien."
jaajerubʉajeore,"u ó J] v.t. poner, colgar (ropa sobre una cuerda)."
jaajudire,chocar algo agudo con el brazo y agujerarlo.
jaajuure,clavar.
jaajuuriajaʉ E,"jaajuuriajʉ J u s.v.inan. martillo. sinón. cõmewaca jaajuur ajaʉ. V. jaajuure, jaajuuriaro, jaare."
jaajuuriaro,"la parte clavada (uso: tiempo pasado). pl. jaajuure. V. cõmewaca, jaajuur ajaʉ, jaajuure, jaare. jaa asibeticatʉa J V. jaamas et jacatʉ E."
jaa asibetijacatʉ E,"jaa asibeticatʉa J m sĩ e t t s.v.inan. lado izquierdo. pl. jaamas et jacatʉar , jaamas et catʉar sinón. gãcojacatʉa. antón. r ojojacatʉ. jaa asiricatʉa J V. jaamas r jacatʉ E."
jaa asirijacatʉ E,jaa asiricatʉa J m sĩ t s.v.inan. lado derecho. sinón. r ojocatʉa. antón. gãcojacatʉ.
jaa uucũure,"m ũ ẽ J] v.t. cortar haciendo las extremidades de la canoa. 124 jaamuucũucama ĩna Cuando ellos hacen una canoa, hacen las extremidades por cortar poco a poco. V. jaare."
jaare,"1 golpear con el brazo y la mano, pegar. 2 machetear. V. jaasurere, jaataare, jaatuure, jaawaare. 3 tronar. V. Bʉjo ĩ jaase, yabese. —s.v.inan. azotamiento, paliza."
jáare,"gatear (nene, insecto)."
jaareare,sacudir.
jaariaro,filtro de tururí (bolsa hecha de la corteza del árbol wasuʉ para filtrar coca).
jaariase E,cõmejãi J s.v.inan. machete.
"jaariase sãariaro E, J","cõmejãi wii s.v.inan. vaina, cubierto de machete."
jaariore,hacer sangrar por pegar.
jaarocaajeria,"ó J] s.v.inan. voleibol o vóleibol. V. jaare, ajeria. jaasai el balentón, el lechero"
jaasai,"pez balentón o valentón, lechero (reg. especie de pez siluro comestible, muy grande). Brachyplatystoma vaillantii."
jaasurere,"cortar (cosas con machete; uso: generalmente se usa para cortar palitos), socolar (chagra), picar, desmenuzar (caña de azúcar)."
jaasurereare,quitar por cortar y dejar a un lado (cosas; uso: se usa principalmente para árboles que se cruzan el río o camino).
jaataaqueore,t ó J] v.caus.sing. cortar y hacer caer (una cosa). 125 Jaataagʉ ya i. Está cortando el árbol caído.
jaataare,"cortar (un palo, árbol caída con machete o hacha)."
jaataarocare,t o J] v.t.sing. quitar por cortar y dejar a un lado (una cosa; uso: se usa principalmente para un árbol que cruza el río o camino).
jaatiore,aplastar con la mano.
jaatubua,montículo de arena.
jaatuure,"cortar con machete; tallar, machetear (remo con machete; uso: se dice más que retere); rozar con machete (hierba)."
jaatuureare,desbastar con azuela (uso: se dice más hoy en día que retereare).
jaatũcuro,"jaʉtũcuro t inan. arenal, terreno arenoso cerca o en un río, en el rastrojo o el monte."
jaawaare,"despedazar, golpear y partir, rajar en dos partes (piña con concha, madera, botella, huevo)."
jacarã,"muchos grandes (personas, animales)."
"jacase E, J",jaca YM v.i.pl. (ser/estar) grandes (cosas).
jacoana,"tío (hermano de mi madre, esposo de la hermana de mi padre; uso: dicho por la mujer)."
